Distance,LG,LL,LLG,LLL,None,Bus,Ia,Ib,Ic,Va,Vb,Vc
30,1,0,0,0,0,1,1567.5,712.5,731.37,32155,36421,36318
40,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
65,0,0,0,1,0,2,89.466,89.466,89.466,7475.8,7475.8,7475.8
50,1,0,0,0,0,1,1240.1,713.73,734.34,33604,36412,36303
30,0,1,0,0,0,3,701.03,301.95,399.17,6149.4,3463.6,2907.3
80,0,0,0,0,1,1,723.37,723.37,723.37,36364,36364,36364
55,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
55,1,0,0,0,0,3,346,694.26,707.71,3652.2,6097.6,6279.2
85,0,0,0,0,1,2,67.548,67.548,67.548,7707,7707,7707
90,1,0,0,0,0,2,130.77,63.307,76.169,7269.9,7739.3,7634.8
10,0,0,0,1,0,3,357.25,357.25,357.25,3793,3792.9,3792.9
40,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
85,0,1,0,0,0,1,723.38,930.56,822.24,36365,35256,35851
40,1,0,0,0,0,1,1331.5,716.01,732.37,33254,36406,36311
60,0,0,0,1,0,2,99.52,99.52,99.52,7369.9,7369.9,7369.9
70,0,0,0,1,0,1,810.48,810.46,810.47,35945,35944,35946
25,0,1,0,0,0,1,723.39,825.31,1032.6,36365,36447,34889
35,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
90,1,0,0,0,0,3,617.61,686.47,708.33,5649.8,6058,6230.4
35,0,1,0,0,0,1,723.42,745.17,846.45,36365,36411,35772
20,0,0,1,0,0,1,723.03,1008.1,1045.8,36363,35445,35310
45,0,1,0,0,0,2,67.553,284.18,249.63,7707.1,5556.3,7474.5
55,0,0,0,1,0,1,987.63,987.63,987.63,35126,35126,35123
50,0,0,0,0,1,2,67.55,67.55,67.55,7707,7707,7707
35,1,0,0,0,0,2,186.23,67.109,65.536,6452.3,7676.2,7784.6
10,1,0,0,0,0,1,2483.1,694.64,733.65,29215,36521,36293
50,0,1,0,0,0,3,701.03,321.28,379.99,6149.4,3609.3,2789.2
80,0,0,0,1,0,2,87.021,87.02,87.02,7506.6,7506.6,7506.6
80,0,0,1,0,0,3,684.2,170.64,163.41,6071.3,2485.2,1380.6
35,0,0,0,1,0,2,104.33,104.33,104.33,7320.6,7320.3,7320.5
25,0,0,0,1,0,3,643.18,643.18,643.18,5805.5,5805.5,5805.5
25,1,0,0,0,0,2,207.99,66.876,64.634,6204.9,7677.1,7806.3
65,1,0,0,0,0,3,268.28,690.85,705.43,3036.3,6051.5,6280.6
40,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
40,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
85,1,0,0,0,0,1,842.03,722.05,734.94,35722,36365,36307
80,1,0,0,0,0,2,147.93,63.82,72.505,7143.1,7715.3,7682.4
60,0,0,0,1,0,2,91.875,91.874,91.874,7449.7,7449.7,7449.7
85,0,0,0,1,0,2,80.205,80.205,80.205,7578.2,7578.1,7578.2
55,0,0,0,1,0,2,94.315,94.315,94.315,7423.6,7423.5,7423.6
65,0,0,0,1,0,1,773.44,773.43,773.43,36133,36134,36133
20,0,0,0,1,0,1,1022.9,1022.9,1022.9,35425,35424,35426
80,0,0,0,0,1,1,723.37,723.37,723.37,36364,36364,36364
50,0,1,0,0,0,2,67.551,146.3,147.95,7707,6920.8,6993.7
30,0,1,0,0,0,3,701.03,697.56,619.21,6149.4,6214.7,5588.4
65,1,0,0,0,0,2,89.161,67.388,67.885,7474.6,7704.5,7713.1
45,1,0,0,0,0,1,898.76,723.01,727.01,35605,36362,36349
30,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
25,0,0,0,0,1,2,67.551,67.551,67.551,7707,7707,7707
30,0,0,0,1,0,2,202.9,202.9,202.9,6291.6,6291.4,6291.5
60,1,0,0,0,0,3,666.22,700.2,702.77,5954.8,6156.3,6168.4
20,0,0,0,0,1,2,67.551,67.551,67.551,7707,7707,7707
55,0,0,0,1,0,2,241.27,241.27,241.27,6260.3,6260.2,6260.2
50,1,0,0,0,0,3,645.94,700.59,703.12,5820.3,6162,6174.9
60,0,0,0,1,0,2,148.17,148.17,148.17,6875.9,6875.9,6875.9
65,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
55,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
10,0,0,0,1,0,2,609.48,609.48,609.48,2734.7,2734.7,2734.7
15,0,0,0,0,1,2,67.551,67.551,67.551,7707,7707,7707
55,1,0,0,0,0,3,663.79,700.52,702.68,5937.2,6158.7,6168.1
10,1,0,0,0,0,1,3041.9,690.15,726.64,25222,36553,36326
50,0,0,1,0,0,3,702.55,655.93,644.64,6185.9,5900.4,5834.8
10,0,0,0,1,0,2,117.02,117.02,117.02,7206.5,7206.5,7206.5
45,0,0,0,1,0,3,538.13,538.13,538.13,5170.1,5170.1,5170.1
30,1,0,0,0,0,1,1225.7,717.47,730.13,34209,36394,36328
20,0,0,0,1,0,1,2511.3,2511.3,2511.3,27487,27484,27489
85,1,0,0,0,0,3,314.42,679.8,699.69,3430.1,5967.7,6239.3
70,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
60,1,0,0,0,0,3,651.93,699.84,703.3,5865.1,6156.6,6175.5
85,0,0,0,0,1,1,723.37,723.37,723.37,36364,36364,36364
30,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
50,0,0,0,1,0,3,345.41,345.41,345.41,3805,3805,3805
80,0,0,0,0,1,2,67.548,67.548,67.548,7707,7707,7707
65,0,0,0,1,0,3,372.04,372.04,372.04,4004.4,4004.4,4004.4
90,0,0,0,0,1,1,723.37,723.37,723.37,36364,36364,36364
60,0,0,1,0,0,2,66.966,181.2,197.63,7706.2,6625.9,6582.2
85,0,0,1,0,0,3,680.95,399.36,198.81,6062.1,4179.9,2649.4
80,1,0,0,0,0,1,873.3,721.77,734.88,35559,36362,36310
50,0,0,1,0,0,3,698.93,140.51,194.59,6181,2271.4,1428.1
50,1,0,0,0,0,1,1164.9,718.25,733.31,34071,36387,36311
25,0,0,0,1,0,3,657.84,657.84,657.84,5895.4,5895.4,5895.4
85,0,0,1,0,0,2,68.333,79.958,79.538,7700.9,7582.4,7581.8
50,0,1,0,0,0,3,701.03,689.14,460.69,6149.4,6281.7,4483.3
60,0,0,1,0,0,1,728.67,1062.5,1111.8,36332,34661,34307
25,0,1,0,0,0,2,67.553,93.941,106.85,7707,7464.4,7300.4
90,0,0,0,0,1,1,723.37,723.37,723.37,36364,36364,36364
10,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
75,0,0,1,0,0,2,68.451,118.78,124.22,7701.7,7202.6,7134.3
90,1,0,0,0,0,1,836.42,713.96,743.42,35739,36404,36259
45,0,0,1,0,0,2,66.091,248.4,268.76,7705.3,6040.4,6209.3
