Distance,LG,LL,LLG,LLL,Ia,Ib,Ic,Va,Vb,Vc
55,0,1,0,0,723.38,1267.9,1160.4,36364,33609,34248
10,0,0,1,0,695.47,3084.5,3405.9,36501,26297,23249
50,0,1,0,0,723.39,1130.9,1185.6,36365,34715,33891
70,0,0,0,1,1094.6,1094.6,1094.6,34380,34378,34381
45,0,0,1,0,725.66,827.85,841.73,36352,35935,35872
50,0,0,0,1,1270.9,1270.9,1270.9,33591,33591,33591
70,1,0,0,0,805.58,724.83,726.52,35964,36349,36353
75,0,0,1,0,730.35,973.87,972.06,36323,35042,35016
50,0,1,0,0,723.39,1255.3,1243.2,36365,33945,33650
85,0,0,0,1,923.89,923.9,923.9,35282,35281,35281
35,0,0,0,1,1911.1,1911.1,1911.1,30053,30051,30053
75,1,0,0,0,842.79,724.45,729.6,35753,36358,36331
50,1,0,0,0,822.76,723.81,725.68,35934,36361,36353
20,0,0,0,1,849.33,849.33,849.33,35970,35969,35970
20,1,0,0,0,1032.6,718.3,728.45,35323,36387,36337
50,0,1,0,0,723.39,792.55,888.7,36365,36204,35525
10,0,0,1,0,722.93,872.09,872.65,36364,35955,35974
30,0,0,0,1,2138.8,2138.8,2138.8,28847,28848,28842
60,0,1,0,0,723.38,781.58,844.31,36365,36175,35742
80,0,0,0,1,784.37,784.36,784.36,36057,36057,36056
25,0,0,0,1,2214.8,2214.8,2214.8,28805,28805,28804
55,0,1,0,0,723.38,746.07,797.1,36364,36316,35993
90,0,1,0,0,723.37,739.02,739.13,36365,36289,36276
40,0,1,0,0,723.42,1595.5,1484.4,36365,32059,32811
20,0,0,0,1,2814.8,2814.8,2814.8,25269,25267,25272
60,0,1,0,0,723.38,862.45,933.13,36365,35849,35255
85,0,0,0,1,757.62,757.62,757.62,36189,36189,36189
85,0,0,1,0,726.47,755.49,756.36,36348,36202,36193
80,1,0,0,0,894.02,718.9,737.83,35437,36376,36293
40,0,1,0,0,723.42,745.76,833,36365,36376,35834
70,0,0,0,1,1058.4,1058.4,1058.4,34572,34570,34573
50,0,0,0,1,1380.8,1380.8,1380.8,32899,32898,32898
65,0,0,0,1,790.89,790.87,790.88,36051,36052,36050
45,0,0,1,0,724.22,1395.1,1450.9,36355,32955,32487
90,0,1,0,0,723.37,894.51,786.58,36365,35440,36026
75,0,0,1,0,725.91,758.54,760.73,36352,36198,36178
35,0,0,1,0,724.96,853.88,869.99,36355,35873,35798
50,1,0,0,0,1240.4,713.61,734.32,33603,36413,36303
20,0,0,0,1,1384,1384,1384,34084,34083,34085
30,0,0,0,1,2142.9,2142.9,2142.9,28831,28833,28826
